sb_id,sb_name,sb_type,sb_brand,price,customer_review_rating,customer_review_description,years_used
1,"Running Shoes","Sports Shoes","Nike",5000,9,"Great for running, very comfortable",1
2,"Casual Sneakers","Casual Shoes","Adidas",4000,8,"Stylish sneakers, but a bit tight on the toes",2
3,"Formal Loafers","Formal Shoes","Clarks",6000,7,"Good quality loafers, but not very comfortable for long walks",3
4,"Hiking Boots","Outdoor Shoes","Merrell",7000,9,"Durable boots, perfect for hiking in rough terrain",1
5,"Basketball Shoes","Sports Shoes","Jordan",5500,8,"Good ankle support, but a bit heavy",2
6,"Flip Flops","Casual Shoes","Havaianas",1000,7,"Simple flip flops, good for the beach",3
7,"Running Shoes","Sports Shoes","Nike",5000,9,"Great for running, very comfortable",1
8,"Casual Sneakers","Casual Shoes","Adidas",4000,8,"Stylish sneakers, but a bit tight on the toes",2
9,"Formal Loafers","Formal Shoes","Clarks",6000,7,"Good quality loafers, but not very comfortable for long walks",3
10,"Hiking Boots","Outdoor Shoes","Merrell",7000,9,"Durable boots, perfect for hiking in rough terrain",1
11,"Basketball Shoes","Sports Shoes","Jordan",5500,8,"Good ankle support, but a bit heavy",2
12,"Flip Flops","Casual Shoes","Havaianas",1000,7,"Simple flip flops, good for the beach",3
13,"Running Shoes","Sports Shoes","Nike",5000,9,"Great for running, very comfortable",1
14,"Casual Sneakers","Casual Shoes","Adidas",4000,8,"Stylish sneakers, but a bit tight on the toes",2
15,"Formal Loafers","Formal Shoes","Clarks",6000,7,"Good quality loafers, but not very comfortable for long walks",3
16,"Hiking Boots","Outdoor Shoes","Merrell",7000,9,"Durable boots, perfect for hiking in rough terrain",1
17,"Basketball Shoes","Sports Shoes","Jordan",5500,8,"Good ankle support, but a bit heavy",2
18,"Flip Flops","Casual Shoes","Havaianas",1000,7,"Simple flip flops, good for the beach",3
19,"Running Shoes","Sports Shoes","Nike",5000,9,"Great for running, very comfortable",1
20,"Casual Sneakers","Casual Shoes","Adidas",4000,8,"Stylish sneakers, but a bit tight on the toes",2
21,"Formal Loafers","Formal Shoes","Clarks",6000,7,"Good quality loafers, but not very comfortable for long walks",3
22,"Hiking Boots","Outdoor Shoes","Merrell",7000,9,"Durable boots, perfect for hiking in rough terrain",1
23,"Basketball Shoes","Sports Shoes","Jordan",5500,8,"Good ankle support, but a bit heavy",2
24,"Flip Flops","Casual Shoes","Havaianas",1000,7,"Simple flip flops, good for the beach",3
25,"Running Shoes","Sports Shoes","Nike",5000,9,"Great for running, very comfortable",1
26,"Casual Sneakers","Casual Shoes","Adidas",4000,8,"Stylish sneakers, but a bit tight on the toes",2
27,"Formal Loafers","Formal Shoes","Clarks",6000,7,"Good quality loafers, but not very comfortable for long walks",3
28,"Hiking Boots","Outdoor Shoes","Merrell",7000,9,"Durable boots, perfect for hiking in rough terrain",1
29,"Basketball Shoes","Sports Shoes","Jordan",5500,8,"Good ankle support, but a bit heavy",2
30,"Flip Flops","Casual Shoes","Havaianas",1000,7,"Simple flip flops, good for the beach",3
31,"Running Shoes","Sports Shoes","Nike",5000,9,"Great for running, very comfortable",1
32,"Casual Sneakers","Casual Shoes","Adidas",4000,8,"Stylish sneakers, but a bit tight on the toes",2
33,"Formal Loafers","Formal Shoes","Clarks",6000,7,"Good quality loafers, but not very comfortable for long walks",3
34,"Hiking Boots","Outdoor Shoes","Merrell",7000,9,"Durable boots, perfect for hiking in rough terrain",1
35,"Basketball Shoes","Sports Shoes","Jordan",5500,8,"Good ankle support, but a bit heavy",2
36,"Flip Flops","Casual Shoes","Havaianas",1000,7,"Simple flip flops, good for the beach",3
37,"Running Shoes","Sports Shoes","Nike",5000,9,"Great for running, very comfortable",1
38,"Casual Sneakers","Casual Shoes","Adidas",4000,8,"Stylish sneakers, but a bit tight on the toes",2
39,"Formal Loafers","Formal Shoes","Clarks",6000,7,"Good quality loafers, but not very comfortable for long walks",3
40,"Hiking Boots","Outdoor Shoes","Merrell",7000,9,"Durable boots, perfect for hiking in rough terrain",1
41,"Basketball Shoes","Sports Shoes","Jordan",5500,8,"Good ankle support, but a bit heavy",2
42,"Flip Flops","Casual Shoes","Havaianas",1000,7,"Simple flip flops, good for the beach",3
