cloth_id,cloth_name,gender,cloth_type,cloth_material,size,price,customer_review_rating,customer_review_description,years_used
1,"Men's T-shirt","Men","T-shirt","Cotton","L",500,9,"Great fit and comfortable fabric",1
2,"Women's Jeans","Women","Jeans","Denim","M",1200,8,"Good quality denim, but the size runs small",2
3,"Men's Formal Shirt","Men","Shirt","Cotton","L",800,8.5,"Nice fabric and fits well",1
4,"Women's Dress","Women","Dress","Polyester","S",1500,7,"Color faded after first wash",1
5,"Men's Polo Shirt","Men","Shirt","Cotton","XL",600,9,"Excellent quality, true to size",1
6,"Women's Leggings","Women","Leggings","Spandex","M",700,8,"Comfortable and stretchy, but slightly sheer",1
7,"Men's Hoodie","Men","Hoodie","Fleece","L",900,9,"Warm and cozy, perfect for winter",2
8,"Women's Skirt","Women","Skirt","Cotton","S",1000,8.5,"Cute design, but fabric wrinkles easily",1
9,"Men's Jeans","Men","Jeans","Denim","M",1100,7,"Decent quality, but the size is not accurate",2
10,"Women's Blouse","Women","Blouse","Silk","M",1300,9,"Beautiful fabric and fits perfectly",1
11,"Men's Shorts","Men","Shorts","Cotton","L",700,8,"Good for casual wear, comfortable fabric",1
12,"Women's T-shirt","Women","T-shirt","Cotton","S",400,7.5,"Shrank after first wash, disappointed with size",2
13,"Men's Chinos","Men","Chinos","Cotton","XL",850,8.5,"Great fit and nice color",1
14,"Women's Cardigan","Women","Cardigan","Wool","M",1200,9,"Warm and stylish, love the design",2
15,"Men's Sweatshirt","Men","Sweatshirt","Polyester","L",800,7,"Not as soft as expected, average quality",1
16,"Women's Jacket","Women","Jacket","Leather","S",2000,8,"Stylish and comfortable, but a bit pricey",1
17,"Men's Formal Pants","Men","Pants","Polyester","M",900,9,"Professional look, comfortable to wear",1
18,"Women's Jumpsuit","Women","Jumpsuit","Cotton","M",1400,8,"Cute design, but the fabric feels cheap",2
19,"Men's Blazer","Men","Blazer","Wool","XL",1800,8.5,"Classic style, good quality fabric",1
20,"Women's Hoodie","Women","Hoodie","Fleece","S",1000,7,"Thin material, not suitable for winter",2
21,"Men's Polo Shirt","Men","Shirt","Cotton","L",600,9,"Excellent quality, true to size",1
22,"Women's Leggings","Women","Leggings","Spandex","M",700,8,"Comfortable and stretchy, but slightly sheer",1
23,"Men's Hoodie","Men","Hoodie","Fleece","L",900,9,"Warm and cozy, perfect for winter",2
24,"Women's Skirt","Women","Skirt","Cotton","S",1000,8.5,"Cute design, but fabric wrinkles easily",1
25,"Men's Jeans","Men","Jeans","Denim","M",1100,7,"Decent quality, but the size is not accurate",2
26,"Women's Blouse","Women","Blouse","Silk","M",1300,9,"Beautiful fabric and fits perfectly",1
