vehicle_id,vehicle_name,vehicle_company,vehicle_model,model_year,price,km_covered,mileage,description,customer_review_rating,customer_review_description,years_used
1,"Honda City","Honda","City",2018,800000,30000,18,"Sleek sedan with comfortable interiors. Great for city driving.",8,"Smooth driving experience. Comfortable seats.",4
2,"Toyota Corolla","Toyota","Corolla",2017,850000,35000,16,"Reliable and spacious sedan. Suitable for family outings.",8.5,"Excellent car for long drives. Spacious interiors.",5
3,"Maruti Suzuki Swift","Maruti Suzuki","Swift",2019,600000,20000,20,"Compact and fuel-efficient hatchback. Perfect for city commute.",7.5,"Decent performance for its price range.",3
4,"Hyundai i20","Hyundai","i20",2016,550000,40000,15,"Stylish and feature-packed hatchback. Ideal for urban driving.",7,"Good value for money. Comfortable ride quality.",6
5,"Ford EcoSport","Ford","EcoSport",2018,900000,25000,17,"Compact SUV with a powerful engine. Suitable for off-road adventures.",9,"Excellent build quality. Powerful engine performance.",4
6,"Mahindra XUV500","Mahindra","XUV500",2017,1100000,45000,14,"Spacious and rugged SUV. Perfect for long drives with family.",8.5,"Comfortable seating arrangement. Great for highway drives.",5
7,"Tata Tiago","Tata","Tiago",2020,550000,15000,22,"Affordable and stylish hatchback. Offers good fuel efficiency.",7,"Decent features for its price. Easy to maneuver in city traffic.",2
8,"Volkswagen Polo","Volkswagen","Polo",2019,650000,18000,21,"Well-built and sporty hatchback. Offers a fun driving experience.",8,"Fun to drive. Solid build quality.",3
9,"Renault Duster","Renault","Duster",2015,750000,50000,13,"Rugged and reliable SUV. Performs well on all terrains.",7.5,"Good off-road capabilities. Spacious interior.",7
10,"Chevrolet Beat","Chevrolet","Beat",2017,400000,30000,19,"Compact and fuel-efficient hatchback. Ideal for daily commutes.",7,"Decent performance. Easy to park in tight spaces.",5
11,"Nissan Micra","Nissan","Micra",2016,450000,35000,18,"Stylish and compact hatchback. Offers good value for money.",7,"Smooth driving experience. Comfortable interiors.",6
12,"Skoda Rapid","Skoda","Rapid",2018,850000,25000,17,"Premium sedan with a powerful engine. Offers a luxurious ride.",9,"Luxurious interiors. Smooth acceleration.",4
13,"BMW 3 Series","BMW","3 Series",2019,3000000,20000,15,"Luxurious sedan with cutting-edge features. Exudes elegance.",9.5,"Best-in-class luxury and performance.",3
14,"Audi Q7","Audi","Q7",2017,4500000,30000,12,"Premium SUV with advanced safety features. Offers unmatched comfort.",9,"Impressive road presence. Luxurious interiors.",5
15,"Mercedes-Benz C-Class","Mercedes-Benz","C-Class",2018,3500000,25000,14,"Iconic luxury sedan known for its comfort and performance.",9,"Smooth driving experience. Elegant design.",4
16,"Toyota Fortuner","Toyota","Fortuner",2016,2800000,40000,13,"Powerful and rugged SUV. Perfect for off-road enthusiasts.",8.5,"Robust build quality. Great for long drives.",6
17,"Maruti Suzuki Vitara Brezza","Maruti Suzuki","Vitara Brezza",2019,950000,18000,16,"Compact SUV with modern features. Offers good fuel efficiency.",8,"Spacious cabin. Smooth ride quality.",3
18,"Hyundai Verna","Hyundai","Verna",2017,900000,30000,15,"Sleek and stylish sedan with comfortable interiors.",8.5,"Comfortable ride quality. Premium features.",5
19,"Ford Endeavour","Ford","Endeavour",2018,3000000,25000,14,"Robust and feature-loaded SUV. Ideal for adventure seekers.",9,"Powerful engine. Luxurious interiors.",4
20,"Mahindra Scorpio","Mahindra","Scorpio",2016,1200000,50000,12,"Rugged and reliable SUV with a commanding road presence.",8,"Tough build quality. Suitable for all terrains.",6
21,"Tata Nexon","Tata","Nexon",2020,850000,15000,19,"Compact SUV with modern styling and advanced features.",8,"Great value for money. Comfortable ride quality.",2
22,"Volkswagen Vento","Volkswagen","Vento",2019,800000,18000,18,"Premium sedan known for its solid build and refined interiors.",8.5,"Solid build quality. Smooth driving experience.",3
23,"Renault Kwid","Renault","Kwid",2017,450000,30000,20,"Compact hatchback with SUV-inspired design elements.",7,"Stylish looks. Affordable pricing.",5
24,"Chevrolet Cruze","Chevrolet","Cruze",2016,1000000,35000,16,"Sporty sedan with a powerful turbocharged engine.",8,"Strong performance. Comfortable ride.",6
25,"Nissan Terrano","Nissan","Terrano",2015,800000,40000,14,"Stylish and rugged SUV. Offers good driving dynamics.",7.5,"Solid build quality. Comfortable seating.",7
26,"Skoda Superb","Skoda","Superb",2018,2200000,25000,14,"Luxurious sedan with a spacious and elegant interior.",9,"Premium features. Comfortable ride.",4
27,"BMW 5 Series","BMW","5 Series",2019,4000000,20000,12,"Executive sedan with advanced technology and luxury features.",9.5,"Ultimate driving experience. Luxurious interiors.",3
28,"Audi A4","Audi","A4",2017,3000000,30000,11,"Premium sedan known for its refined performance and elegant design.",9,"Smooth acceleration. Elegant interiors.",5
29,"Mercedes-Benz E-Class","Mercedes-Benz","E-Class",2018,3800000,25000,13,"Iconic luxury sedan with cutting-edge technology.",9,"Luxurious interiors. Smooth ride.",4
30,"Toyota Innova Crysta","Toyota","Innova Crysta",2016,1500000,50000,12,"Spacious and comfortable MPV. Perfect for family trips.",8.5,"Comfortable seating. Reliable performance.",6
31,"Maruti Suzuki Dzire","Maruti Suzuki","Dzire",2019,700000,20000,18,"Compact sedan with fuel-efficient engine options.",8,"Smooth driving experience. Practical features.",3
32,"Hyundai Creta","Hyundai","Creta",2017,1100000,35000,15,"Popular compact SUV with modern features and stylish design.",8.5,"Stylish looks. Comfortable ride quality.",5
33,"Ford Figo","Ford","Figo",2018,600000,25000,17,"Compact hatchback with a peppy engine and good driving dynamics.",7.5,"Fun to drive. Practical features.",4
34,"Mahindra Thar","Mahindra","Thar",2015,900000,40000,13,"Iconic off-roader with rugged design and capable performance.",8,"Great off-road capabilities. Solid build quality.",7
35,"Tata Harrier","Tata","Harrier",2019,1600000,18000,16,"Stylish and feature-packed SUV with modern design cues.",8.5,"Good road presence. Comfortable interiors.",3
36,"Volkswagen Polo GT","Volkswagen","Polo GT",2019,900000,18000,21,"Sporty hatchback with powerful engine options and dynamic handling.",8.5,"Agile handling. Strong performance.",3
37,"Renault Captur","Renault","Captur",2017,850000,30000,14,"Stylish and spacious crossover with SUV-like features.",8,"Comfortable ride. Stylish design.",5
38,"Chevrolet Spark","Chevrolet","Spark",2016,400000,35000,19,"Compact hatchback with peppy performance and compact dimensions.",7,"Good city car. Easy to park.",6
39,"Nissan Sunny","Nissan","Sunny",2016,700000,40000,16,"Comfortable sedan with spacious interiors and decent fuel efficiency.",7.5,"Spacious cabin. Smooth ride quality.",6
40,"Skoda Octavia","Skoda","Octavia",2018,2000000,25000,15,"Premium sedan known for its luxurious features and strong performance.",9,"Luxurious interiors. Smooth ride.",4
41,"BMW X1","BMW","X1",2017,3500000,30000,12,"Compact luxury SUV with premium features and dynamic driving experience.",8.5,"Luxurious interiors. Agile handling.",5
42,"Audi Q5","Audi","Q5",2016,3200000,35000,13,"Premium SUV with advanced safety features and refined interiors.",8.5,"Smooth acceleration. Comfortable ride.",6
43,"Mercedes-Benz GLA","Mercedes-Benz","GLA",2018,3000000,25000,14,"Compact luxury SUV with stylish design and premium features.",9,"Luxurious interiors. Strong performance.",4
44,"Toyota Yaris","Toyota","Yaris",2019,950000,20000,17,"Premium sedan with spacious interiors and refined ride quality.",8.5,"Smooth driving experience. Comfortable seats.",3
45,"Maruti Suzuki Baleno","Maruti Suzuki","Baleno",2017,700000,25000,16,"Premium hatchback with spacious cabin and modern features.",8,"Good fuel efficiency. Comfortable ride.",5
46,"Hyundai Venue","Hyundai","Venue",2019,850000,18000,19,"Compact SUV with stylish design and feature-loaded cabin.",8,"Stylish looks. Comfortable interiors.",3
47,"Ford Aspire","Ford","Aspire",2018,750000,22000,18,"Compact sedan with powerful engine options and comfortable ride.",8,"Strong performance. Comfortable seating.",4
48,"Mahindra Marazzo","Mahindra","Marazzo",2018,1200000,30000,15,"Spacious and comfortable MPV with modern features.",8.5,"Comfortable seating arrangement. Smooth ride quality.",4
49,"Tata Tigor","Tata","Tigor",2019,750000,20000,17,"Stylish and practical compact sedan with good fuel efficiency.",8,"Smooth driving experience. Spacious cabin.",3
50,"Volkswagen Tiguan","Volkswagen","Tiguan",2017,2500000,35000,14,"Premium SUV with refined interiors and advanced safety features.",9,"Luxurious cabin. Smooth ride quality.",5
51,"Honda Civic","Honda","Civic",2017,1100000,40000,15,"Elegant and sporty sedan with advanced features.",8.5,"Elegant design. Sporty performance.",5
52,"Toyota Innova","Toyota","Innova",2018,1400000,30000,14,"Spacious and reliable MPV with comfortable seating.",8,"Spacious interiors. Smooth ride quality.",4
53,"Maruti Suzuki Ciaz","Maruti Suzuki","Ciaz",2019,900000,25000,16,"Premium sedan with ample legroom and boot space.",8.5,"Comfortable ride. Elegant design.",3
