appliances_id,appliances_name,appliances_type,appliances_brand,price,customer_review_rating,customer_review_description,years_used
1,"BlendPro 2000 Blender","Kitchen Appliance","Philips",2500,9,"Powerful blender, great for smoothies and shakes",2
2,"QuickHeat Microwave","Kitchen Appliance","Samsung",6000,8,"Good microwave overall, but takes longer to heat food",3
3,"MixMaster Plus Mixer","Kitchen Appliance","Bajaj",3500,7,"Decent mixer, but a bit noisy",1
4,"TurboHeat Induction Cooker","Kitchen Appliance","Prestige",3000,9,"Efficient induction cooker, heats up quickly",2
5,"SmartCooker XL","Kitchen Appliance","Butterfly",4000,8,"Sturdy cooker, but the handles get hot",4
6,"EcoWash Washing Machine","Home Appliance","LG",15000,9,"Great washing machine, very efficient",2
7,"CoolBreeze AC","Home Appliance","Voltas",30000,8,"Cools the room quickly, but noisy at times",3
8,"FreshFrost Refrigerator","Home Appliance","Whirlpool",20000,9,"Spacious refrigerator, keeps food fresh for longer",5
9,"iPhonex Mobile Phone","Electronic Device","Apple",60000,8,"Good phone overall, but battery life could be better",1
10,"Spectra Laptop","Electronic Device","HP",55000,7,"Decent laptop, but the keyboard feels a bit stiff",2
11,"Velocity Desktop","Electronic Device","Dell",45000,9,"Fast computer, great for multitasking",3
12,"SoundScape Headphones","Electronic Device","Sony",3000,8,"Good sound quality, comfortable to wear",2
13,"BassBoom Speakers","Electronic Device","JBL",8000,9,"Excellent sound quality, worth the price",1
14,"SteamMaster Iron Box","Home Appliance","Philips",1500,7,"Average iron box, takes a while to heat up",3
15,"WarmWave Heater","Home Appliance","Usha",2000,8,"Effective heater, keeps the room warm",4
16,"BlendPro 2000 Blender","Kitchen Appliance","Philips",2500,9,"Powerful blender, great for smoothies and shakes",2
17,"QuickHeat Microwave","Kitchen Appliance","Samsung",6000,8,"Good microwave overall, but takes longer to heat food",3
18,"MixMaster Plus Mixer","Kitchen Appliance","Bajaj",3500,7,"Decent mixer, but a bit noisy",1
19,"TurboHeat Induction Cooker","Kitchen Appliance","Prestige",3000,9,"Efficient induction cooker, heats up quickly",2
20,"SmartCooker XL","Kitchen Appliance","Butterfly",4000,8,"Sturdy cooker, but the handles get hot",4
21,"EcoWash Washing Machine","Home Appliance","LG",15000,9,"Great washing machine, very efficient",2
22,"CoolBreeze AC","Home Appliance","Voltas",30000,8,"Cools the room quickly, but noisy at times",3
23,"FreshFrost Refrigerator","Home Appliance","Whirlpool",20000,9,"Spacious refrigerator, keeps food fresh for longer",5
